year,month,national_compliant,who_compliant,total_subdistricts,national_pct,who_pct
2010,september,5800,22,5968,97.18498659517427,0.3686327077747989
2011,april,2895,3,5968,48.50871313672922,0.05026809651474531
2011,august,5785,6,5968,96.93364611260054,0.10053619302949061
2011,december,1515,1,5968,25.38538873994638,0.01675603217158177
2011,february,1465,0,5968,24.547587131367294,0
2011,january,1772,0,5968,29.691689008042893,0
2011,july,4753,18,5968,79.64142091152814,0.30160857908847183
2011,june,4324,16,5968,72.45308310991958,0.2680965147453083
2011,march,2516,0,5968,42.15817694369973,0
2011,may,3918,1,5968,65.65013404825737,0.01675603217158177
2011,november,2347,1,5968,39.32640750670242,0.01675603217158177
2011,october,3078,2,5968,51.575067024128685,0.03351206434316354
2011,september,5833,12,5968,97.73793565683646,0.20107238605898123
2012,april,3160,1,5968,52.949061662198396,0.01675603217158177
2012,august,5734,8,5968,96.07908847184986,0.13404825737265416
2012,december,2433,1,5968,40.76742627345845,0.01675603217158177
2012,february,1511,0,5968,25.31836461126005,0
2012,january,2099,0,5968,35.170911528150135,0
2012,july,5231,5,5968,87.65080428954424,0.08378016085790885
2012,june,4643,4,5968,77.79825737265415,0.06702412868632708
2012,march,2308,0,5968,38.67292225201072,0
2012,may,3662,1,5968,61.36058981233244,0.01675603217158177
2012,november,2188,0,5968,36.662198391420915,0
2012,october,3046,7,5968,51.03887399463807,0.11729222520107238
2012,september,5570,15,5968,93.33109919571045,0.25134048257372654
2013,april,3050,0,5968,51.1058981233244,0
2013,august,5841,15,5968,97.87198391420911,0.25134048257372654
2013,december,1720,1,5968,28.820375335120644,0.01675603217158177
2013,february,1749,0,5968,29.306300268096514,0
2013,january,1606,0,5968,26.91018766756032,0
2013,july,5370,16,5968,89.9798927613941,0.2680965147453083
2013,june,3941,11,5968,66.03552278820375,0.18431635388739945
2013,march,2403,1,5968,40.26474530831099,0.01675603217158177
2013,may,4055,5,5968,67.94571045576407,0.08378016085790885
2013,november,1652,0,5968,27.680965147453087,0
2013,october,3762,6,5968,63.03619302949062,0.10053619302949061
2013,september,5777,3,5968,96.79959785522789,0.05026809651474531
2014,april,2224,0,5968,37.26541554959786,0
2014,august,5649,6,5968,94.65482573726541,0.10053619302949061
2014,december,1951,3,5968,32.69101876675603,0.05026809651474531
2014,february,1848,1,5968,30.96514745308311,0.01675603217158177
2014,january,1383,0,5968,23.173592493297587,0
2014,july,5463,6,5968,91.53820375335121,0.10053619302949061
2014,june,4428,3,5968,74.19571045576407,0.05026809651474531
2014,march,1952,1,5968,32.707774798927616,0.01675603217158177
2014,may,4172,2,5968,69.90616621983914,0.03351206434316354
2014,november,1814,0,5968,30.39544235924933,0
2014,october,3022,1,5968,50.6367292225201,0.01675603217158177
2014,september,5814,6,5968,97.4195710455764,0.10053619302949061
2015,april,2780,0,5968,46.58176943699732,0
2015,august,5540,20,5968,92.828418230563,0.3351206434316354
2015,december,2276,2,5968,38.1367292225201,0.03351206434316354
2015,february,1961,2,5968,32.85857908847185,0.03351206434316354
2015,january,1752,0,5968,29.356568364611256,0
2015,july,5118,27,5968,85.75737265415549,0.4524128686327078
2015,june,4609,40,5968,77.22855227882037,0.6702412868632708
2015,march,2414,1,5968,40.449061662198396,0.01675603217158177
2015,may,3652,5,5968,61.193029490616624,0.08378016085790885
2015,november,1685,1,5968,28.23391420911528,0.01675603217158177
2015,october,1857,3,5968,31.115951742627345,0.05026809651474531
2015,september,4676,13,5968,78.35120643431635,0.217828418230563
2016,april,2639,4,5968,44.21916890080429,0.06702412868632708
2016,august,5856,8,5968,98.12332439678283,0.13404825737265416
2016,december,1310,1,5968,21.95040214477212,0.01675603217158177
2016,february,1591,0,5968,26.658847184986595,0
2016,january,1227,0,5968,20.55965147453083,0
2016,july,5434,19,5968,91.05227882037534,0.3183646112600536
2016,june,4307,35,5968,72.16823056300268,0.5864611260053619
2016,march,1487,2,5968,24.91621983914209,0.03351206434316354
2016,may,3814,2,5968,63.90750670241287,0.03351206434316354
2016,november,1194,3,5968,20.00670241286863,0.05026809651474531
2016,october,2881,1,5968,48.274128686327074,0.01675603217158177
2016,september,5443,7,5968,91.20308310991958,0.11729222520107238
2017,april,2476,1,5968,41.48793565683646,0.01675603217158177
2017,august,5496,10,5968,92.0911528150134,0.1675603217158177
2017,december,1303,2,5968,21.833109919571044,0.03351206434316354
2017,february,1340,1,5968,22.45308310991957,0.01675603217158177
2017,january,1318,0,5968,22.084450402144775,0
2017,july,5374,11,5968,90.04691689008042,0.18431635388739945
2017,june,4419,7,5968,74.04490616621983,0.11729222520107238
2017,march,2293,1,5968,38.421581769437,0.01675603217158177
2017,may,3365,2,5968,56.384048257372655,0.03351206434316354
2017,november,1503,1,5968,25.184316353887397,0.01675603217158177
2017,october,2891,5,5968,48.44168900804289,0.08378016085790885
2017,september,4635,9,5968,77.66420911528151,0.15080428954423591
2018,april,2626,0,5968,44.001340482573724,0
2018,august,5806,12,5968,97.28552278820375,0.20107238605898123
2018,december,1125,1,5968,18.85053619302949,0.01675603217158177
2018,february,1662,0,5968,27.8485254691689,0
2018,january,997,0,5968,16.705764075067023,0
2018,july,5660,13,5968,94.83914209115282,0.217828418230563
2018,june,4272,10,5968,71.58176943699732,0.1675603217158177
2018,march,1429,0,5968,23.944369973190348,0
2018,may,3289,4,5968,55.11058981233244,0.06702412868632708
2018,november,1726,0,5968,28.920911528150135,0
2018,october,2292,5,5968,38.40482573726541,0.08378016085790885
2018,september,5382,5,5968,90.18096514745308,0.08378016085790885
2019,april,2738,1,5968,45.87801608579088,0.01675603217158177
2019,august,5895,5,5968,98.77680965147452,0.08378016085790885
2019,december,1727,4,5968,28.937667560321717,0.06702412868632708
2019,february,1737,1,5968,29.105227882037532,0.01675603217158177
2019,january,1399,0,5968,23.441689008042896,0
2019,july,5692,9,5968,95.37533512064343,0.15080428954423591
2019,june,4547,6,5968,76.1896782841823,0.10053619302949061
2019,march,2174,0,5968,36.42761394101876,0
2019,may,3316,5,5968,55.56300268096515,0.08378016085790885
2019,november,1568,0,5968,26.273458445040216,0
2019,october,3557,9,5968,59.60120643431635,0.15080428954423591
2019,september,5901,10,5968,98.87734584450402,0.1675603217158177
2020,april,4222,0,5968,70.74396782841823,0
2020,august,5940,17,5968,99.53083109919572,0.2848525469168901
2020,december,1377,2,5968,23.073056300268096,0.03351206434316354
2020,february,1840,0,5968,30.831099195710454,0
2020,january,1832,0,5968,30.6970509383378,0
2020,july,5437,17,5968,91.10254691689008,0.2848525469168901
2020,june,5214,27,5968,87.36595174262735,0.4524128686327078
2020,march,2968,1,5968,49.73190348525469,0.01675603217158177
2020,may,5144,1,5968,86.19302949061662,0.01675603217158177
2020,november,2111,1,5968,35.37198391420912,0.01675603217158177
2020,october,2821,2,5968,47.26876675603217,0.03351206434316354
2020,september,5188,14,5968,86.93029490616621,0.23458445040214476
2021,april,2204,3,5968,36.930294906166225,0.05026809651474531
2021,august,5708,13,5968,95.64343163538874,0.217828418230563
2021,december,1367,0,5968,22.905495978552278,0
2021,february,1245,0,5968,20.8612600536193,0
2021,january,1339,0,5968,22.43632707774799,0
2021,july,5520,16,5968,92.49329758713137,0.2680965147453083
2021,june,5023,11,5968,84.16554959785523,0.18431635388739945
2021,march,1551,0,5968,25.988605898123325,0
2021,may,4653,6,5968,77.96581769436997,0.10053619302949061
2021,november,2205,0,5968,36.9470509383378,0
2021,october,3591,7,5968,60.17091152815014,0.11729222520107238
2021,september,5930,18,5968,99.3632707774799,0.30160857908847183
2022,april,2845,3,5968,47.670911528150135,0.05026809651474531
2022,august,5932,9,5968,99.39678284182307,0.15080428954423591
2022,december,2082,0,5968,34.88605898123324,0
2022,february,2484,1,5968,41.62198391420912,0.01675603217158177
2022,january,2361,0,5968,39.560991957104555,0
2022,july,5855,5,5968,98.10656836461126,0.08378016085790885
2022,june,4634,5,5968,77.64745308310992,0.08378016085790885
2022,march,1846,0,5968,30.93163538873995,0
2022,may,3621,0,5968,60.67359249329759,0
2022,november,2138,1,5968,35.82439678284182,0.01675603217158177
